symbol,date,price,change
MSFT,2021-06-25 16:00:00,265.02,145.13
MSFT,2021-07-02 16:00:00,277.65,157.76
MSFT,2021-07-09 16:00:00,277.94,158.05
MSFT,2021-07-16 16:00:00,280.75,160.86
MSFT,2021-07-23 16:00:00,289.67,169.78
MSFT,2021-07-30 16:00:00,284.91,165.02
MSFT,2021-08-06 16:00:00,289.46,169.57
MSFT,2021-08-13 16:00:00,292.85,172.96
MSFT,2021-08-20 16:00:00,304.36,184.47
MSFT,2021-08-27 16:00:00,299.72,179.83
MSFT,2021-09-03 16:00:00,301.14,181.25
MSFT,2021-09-10 16:00:00,295.71,175.82
MSFT,2021-09-17 16:00:00,299.87,179.98
MSFT,2021-09-24 16:00:00,299.35,179.46
MSFT,2021-10-01 16:00:00,289.1,169.21
MSFT,2021-10-08 16:00:00,294.85,174.96
MSFT,2021-10-15 16:00:00,304.21,184.32
MSFT,2021-10-22 16:00:00,309.16,189.27
MSFT,2021-10-29 16:00:00,331.62,211.73
MSFT,2021-11-05 16:00:00,336.06,216.17
MSFT,2021-11-12 16:00:00,336.72,216.83
MSFT,2021-11-19 16:00:00,343.11,223.22
MSFT,2021-11-26 13:00:00,329.68,209.79
MSFT,2021-12-03 16:00:00,323.01,203.12
MSFT,2021-12-10 16:00:00,342.54,222.65
MSFT,2021-12-17 16:00:00,323.8,203.91
MSFT,2021-12-23 16:00:00,334.69,214.8
MSFT,2021-12-31 16:00:00,336.32,216.43
MSFT,2022-01-07 16:00:00,314.04,194.15
MSFT,2022-01-14 16:00:00,310.2,190.31
MSFT,2022-01-21 16:00:00,296.03,176.14
MSFT,2022-01-28 16:00:00,308.26,188.37
MSFT,2022-02-04 16:00:00,305.94,186.05
MSFT,2022-02-11 16:00:00,295.04,175.15
MSFT,2022-02-18 16:00:00,287.93,168.04
MSFT,2022-02-25 16:00:00,297.31,177.42
MSFT,2022-03-04 16:00:00,289.86,169.97
MSFT,2022-03-11 16:00:00,280.07,160.18
MSFT,2022-03-18 16:00:00,300.43,180.54
MSFT,2022-03-25 16:00:00,303.68,183.79
MSFT,2022-04-01 16:00:00,309.42,189.53
MSFT,2022-04-08 16:00:00,296.97,177.08
MSFT,2022-04-14 16:00:00,279.83,159.94
MSFT,2022-04-22 16:00:00,274.03,154.14
MSFT,2022-04-29 16:00:00,277.52,157.63
MSFT,2022-05-06 16:00:00,274.73,154.84
MSFT,2022-05-13 16:00:00,261.12,141.23
MSFT,2022-05-20 16:00:00,252.56,132.67
MSFT,2022-05-27 16:00:00,273.24,153.35
MSFT,2022-06-03 16:00:00,270.02,150.13
MSFT,2022-06-10 16:00:00,252.99,133.1
MSFT,2022-06-17 16:00:00,247.65,127.76
MSFT,2022-06-24 16:00:00,267.7,147.81
MSFT,2022-07-01 16:00:00,259.58,139.69
MSFT,2022-07-08 16:00:00,267.66,147.77
MSFT,2022-07-15 16:00:00,256.72,136.83
MSFT,2022-07-22 16:00:00,260.36,140.47
MSFT,2022-07-29 16:00:00,280.74,160.85
MSFT,2022-08-05 16:00:00,282.91,163.02
MSFT,2022-08-12 16:00:00,291.91,172.02
MSFT,2022-08-19 16:00:00,286.15,166.26
MSFT,2022-08-26 16:00:00,268.09,148.2
MSFT,2022-09-02 16:00:00,256.06,136.17
MSFT,2022-09-09 16:00:00,264.46,144.57
MSFT,2022-09-16 16:00:00,244.74,124.85
MSFT,2022-09-23 16:00:00,237.92,118.03
MSFT,2022-09-30 16:00:00,232.9,113.01
MSFT,2022-10-07 16:00:00,234.24,114.35
MSFT,2022-10-14 16:00:00,228.56,108.67
MSFT,2022-10-21 16:00:00,242.12,122.23
MSFT,2022-10-28 16:00:00,235.87,115.98
MSFT,2022-11-04 16:00:00,221.39,101.5
MSFT,2022-11-11 16:00:00,247.11,127.22
MSFT,2022-11-18 16:00:00,241.22,121.33
MSFT,2022-11-25 13:05:00,247.49,127.6
MSFT,2022-12-02 16:00:00,255.02,135.13
MSFT,2022-12-09 16:00:00,245.42,125.53
MSFT,2022-12-16 16:00:00,244.69,124.8
MSFT,2022-12-23 16:00:00,238.73,118.84
MSFT,2022-12-30 16:00:00,239.82,119.93
MSFT,2023-01-06 16:00:00,224.93,105.04
MSFT,2023-01-13 16:00:00,239.23,119.34
MSFT,2023-01-20 16:00:00,240.22,120.33
MSFT,2023-01-27 16:00:00,248.16,128.27
MSFT,2023-02-03 16:00:00,258.35,138.46
MSFT,2023-02-10 16:00:00,263.1,143.21
MSFT,2023-02-17 16:00:00,258.06,138.17
MSFT,2023-02-24 16:00:00,249.22,129.33
MSFT,2023-03-03 16:00:00,255.29,135.4
MSFT,2023-03-10 16:00:00,248.59,128.7
MSFT,2023-03-17 16:00:00,279.43,159.54
MSFT,2023-03-24 16:00:00,280.57,160.68
MSFT,2023-03-31 16:00:00,288.3,168.41
MSFT,2023-04-06 16:00:00,291.6,171.71
MSFT,2023-04-14 16:00:00,286.14,166.25
MSFT,2023-04-21 16:00:00,285.76,165.87
MSFT,2023-04-28 16:00:00,307.26,187.37
MSFT,2023-05-05 16:00:00,310.65,190.76
MSFT,2023-05-12 16:00:00,308.97,189.08
MSFT,2023-05-19 16:00:00,318.34,198.45
MSFT,2023-05-26 16:00:00,332.89,213
MSFT,2023-06-02 16:00:00,335.4,215.51
MSFT,2023-06-09 16:00:00,326.79,206.9
MSFT,2023-06-16 16:00:00,342.33,222.44
MSFT,2023-06-23 16:00:00,335.02,215.13
MSFT,2023-06-30 16:00:00,340.54,220.65
MSFT,2023-07-07 16:00:00,337.22,217.33
MSFT,2023-07-14 16:00:00,345.24,225.35
MSFT,2023-07-21 16:00:00,343.77,223.88
MSFT,2023-07-28 16:00:00,338.37,218.48
MSFT,2023-08-04 16:00:00,327.78,207.89
MSFT,2023-08-11 16:00:00,321.01,201.12
MSFT,2023-08-18 16:00:00,316.48,196.59
MSFT,2023-08-25 16:00:00,322.98,203.09
MSFT,2023-09-01 16:00:00,328.66,208.77
MSFT,2023-09-08 16:00:00,334.27,214.38
MSFT,2023-09-15 16:00:00,330.22,210.33
MSFT,2023-09-22 16:00:00,317.01,197.12
MSFT,2023-09-29 16:00:00,315.75,195.86
MSFT,2023-10-06 16:00:00,327.26,207.37
MSFT,2023-10-13 16:00:00,327.73,207.84
MSFT,2023-10-20 16:00:00,326.67,206.78
MSFT,2023-10-27 16:00:00,329.81,209.92
MSFT,2023-11-03 16:00:00,352.8,232.91
MSFT,2023-11-10 16:00:00,369.67,249.78
MSFT,2023-11-17 16:00:00,369.85,249.96
MSFT,2023-11-24 13:05:00,377.43,257.54
MSFT,2023-12-01 16:00:00,374.51,254.62
MSFT,2023-12-08 16:00:00,374.23,254.34
MSFT,2023-12-15 16:00:00,370.73,250.84
MSFT,2023-12-22 16:00:00,374.58,254.69
MSFT,2023-12-29 16:00:00,376.04,256.15
MSFT,2024-01-05 16:00:00,367.75,247.86
MSFT,2024-01-12 16:00:00,388.47,268.58
MSFT,2024-01-19 16:00:00,398.67,278.78
MSFT,2024-01-26 16:00:00,403.93,284.04
MSFT,2024-02-02 16:00:00,411.22,291.33
MSFT,2024-02-09 16:00:00,420.55,300.66
MSFT,2024-02-16 16:00:00,404.06,284.17
MSFT,2024-02-23 16:00:00,410.34,290.45
MSFT,2024-03-01 16:00:00,415.5,295.61
MSFT,2024-03-08 16:00:00,406.22,286.33
MSFT,2024-03-15 16:00:00,416.42,296.53
MSFT,2024-03-22 16:00:00,428.74,308.85
MSFT,2024-03-28 16:00:00,420.72,300.83
MSFT,2024-04-04 13:25:00,427.62,307.73
